frame.number,frame.time_epoch,eth.src,eth.dst,goose.gocbRef,goose.stNum,goose.sqNum
"855","1775746613.282035000","08:00:27:d1:c5:85","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","2"
"856","1775746613.416277000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"857","1775746613.416745000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"858","1775746613.417781000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"859","1775746613.459633000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"860","1775746613.510512000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"861","1775746613.510534000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"862","1775746614.282690000","08:00:27:d1:c5:85","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","3"
"863","1775746614.422822000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"864","1775746614.467349000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"865","1775746614.512187000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"866","1775746614.512206000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"867","1775746615.429367000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"868","1775746615.430462000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"869","1775746615.514912000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"870","1775746615.514936000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"871","1775746616.434192000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"872","1775746616.436486000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"873","1775746616.516432000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"874","1775746616.516458000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"875","1775746617.517274000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"876","1775746617.517291000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"877","1775746617.575044000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"878","1775746617.575802000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"879","1775746618.485424000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"880","1775746618.488390000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"881","1775746618.524822000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"882","1775746618.524853000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"883","1775746619.497981000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"884","1775746619.500484000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"885","1775746619.525633000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"886","1775746619.525654000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"887","1775746620.529081000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"888","1775746620.529126000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"889","1775746621.531952000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"890","1775746621.532000000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"891","1775746621.747217000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"892","1775746621.753144000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"893","1775746621.880144000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"894","1775746621.880246000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"895","1775746621.880456000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"896","1775746621.880563000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"897","1775746621.881382000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"898","1775746621.881394000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"899","1775746621.882152000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"900","1775746621.883004000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"901","1775746622.532154000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"902","1775746622.532179000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"903","1775746622.788763000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"904","1775746622.790897000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"905","1775746623.534479000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"906","1775746623.534508000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"907","1775746623.794125000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"908","1775746623.796495000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"909","1775746623.796496000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"910","1775746623.837787000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"911","1775746624.536107000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"912","1775746624.536139000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"913","1775746624.805600000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"914","1775746624.853084000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"915","1775746625.535816000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"916","1775746625.535833000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"917","1775746625.814204000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"918","1775746625.815428000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"919","1775746626.557943000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"920","1775746626.557985000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"921","1775746626.761444000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"922","1775746626.763454000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"923","1775746627.559028000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"924","1775746627.559055000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"925","1775746627.770819000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"926","1775746627.773200000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"927","1775746628.561424000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"928","1775746628.561458000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"929","1775746628.967550000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"930","1775746628.970990000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
