frame.time_epoch,ip.src,ip.dst,tcp.len,tcp.payload,time_epoch,tcp.stream,payload_bytes,is_i_frame,ns,nr,asdu_bytes,backward_ns,jump_ns,asdu_fp,fp_total_count,is_rare_fp,stale_fp,fp_age_s,window_id,repeat_fp_count,high_rep_density
1771809441.730527,192.168.100.10,192.168.100.20,43,681236eeb23e0102140001006800000169000000681538eeb23e0188140001002c01000100010001000100,1771809441.730527,0,"b'h\x126\xee\xb2>\x01\x02\x14\x00\x01\x00h\x00\x00\x01i\x00\x00\x00h\x158\xee\xb2>\x01\x88\x14\x00\x01\x00,\x01\x00\x01\x00\x01\x00\x01\x00\x01\x00'",True,30491,8025,"b'\x01\x02\x14\x00\x01\x00h\x00\x00\x01i\x00\x00\x00h\x158\xee\xb2>\x01\x88\x14\x00\x01\x00,\x01\x00\x01\x00\x01\x00\x01\x00\x01\x00'",False,False,d47917e5ddf5475fbe9eb5c936a7f46b619f3024,1,True,False,0.0,354361888,0,False
1771809441.73109,192.168.100.10,192.168.100.20,54,68123aeeb23e070114000100f40100aaaa000000680e3ceeb23e64010a0301000000001468103eeeb23e0b01010001006e0000024000,1771809441.73109,0,b'h\x12:\xee\xb2>\x07\x01\x14\x00\x01\x00\xf4\x01\x00\xaa\xaa\x00\x00\x00h\x0e<\xee\xb2>d\x01\n\x03\x01\x00\x00\x00\x00\x14h\x10>\xee\xb2>\x0b\x01\x01\x00\x01\x00n\x00\x00\x02@\x00',True,30493,8025,b'\x07\x01\x14\x00\x01\x00\xf4\x01\x00\xaa\xaa\x00\x00\x00h\x0e<\xee\xb2>d\x01\n\x03\x01\x00\x00\x00\x00\x14h\x10>\xee\xb2>\x0b\x01\x01\x00\x01\x00n\x00\x00\x02@\x00',False,False,d69c1ec989fe4c7be630f3b50223705aabf60983,1,True,False,0.0,354361888,0,False
1771809442.73546,192.168.100.10,192.168.100.20,18,681040eeb23e0b01010001006e0000034000,1771809442.73546,0,b'h\x10@\xee\xb2>\x0b\x01\x01\x00\x01\x00n\x00\x00\x03@\x00',True,30496,8025,b'\x0b\x01\x01\x00\x01\x00n\x00\x00\x03@\x00',False,False,f7d2141f20c27ecdf4888c54f4f9c1a79ea50ff0,1,True,False,0.0,354361888,0,False
1771809443.747939,192.168.100.10,192.168.100.20,18,681042eeb23e0b01010001006e0000044000,1771809443.747939,0,b'h\x10B\xee\xb2>\x0b\x01\x01\x00\x01\x00n\x00\x00\x04@\x00',True,30497,8025,b'\x0b\x01\x01\x00\x01\x00n\x00\x00\x04@\x00',False,False,a375dbb8a01db47a326c7539e2b90b9255ee594b,1,True,False,0.0,354361888,0,False
1771809444.753071,192.168.100.10,192.168.100.20,18,681044eeb23e0b01010001006e0000054000,1771809444.753071,0,b'h\x10D\xee\xb2>\x0b\x01\x01\x00\x01\x00n\x00\x00\x05@\x00',True,30498,8025,b'\x0b\x01\x01\x00\x01\x00n\x00\x00\x05@\x00',False,False,383f58ed5b09326a4bb4cd75a1ed6da86a4554a0,1,True,False,0.0,354361888,0,False
1771809445.662113,192.168.100.10,192.168.100.20,18,681046eeb23e0b01010001006e0000064000,1771809445.662113,0,b'h\x10F\xee\xb2>\x0b\x01\x01\x00\x01\x00n\x00\x00\x06@\x00',True,30499,8025,b'\x0b\x01\x01\x00\x01\x00n\x00\x00\x06@\x00',False,False,e58525e972b77f9e79ce421e9b3a274a8ac58d71,1,True,False,0.0,354361889,0,False
1771809446.672803,192.168.100.10,192.168.100.20,18,681048eeb23e0b01010001006e0000074000,1771809446.672803,0,b'h\x10H\xee\xb2>\x0b\x01\x01\x00\x01\x00n\x00\x00\x07@\x00',True,30500,8025,b'\x0b\x01\x01\x00\x01\x00n\x00\x00\x07@\x00',False,False,2902286f850ab9fee3087f2c86e610a17a2dbeb8,1,True,False,0.0,354361889,0,False
1771809447.684148,192.168.100.10,192.168.100.20,18,68104aeeb23e0b01010001006e0000084000,1771809447.684148,0,b'h\x10J\xee\xb2>\x0b\x01\x01\x00\x01\x00n\x00\x00\x08@\x00',True,30501,8025,b'\x0b\x01\x01\x00\x01\x00n\x00\x00\x08@\x00',False,False,4d5b16814daae9182508de044b48dfa49f3f3c87,1,True,False,0.0,354361889,0,False
1771809448.694089,192.168.100.10,192.168.100.20,18,68104ceeb23e0b01010001006e0000094000,1771809448.694089,0,b'h\x10L\xee\xb2>\x0b\x01\x01\x00\x01\x00n\x00\x00\t@\x00',True,30502,8025,b'\x0b\x01\x01\x00\x01\x00n\x00\x00\t@\x00',False,False,d2ac00e90cb12ea2f7373769d45fe702139ea2da,1,True,False,0.0,354361889,0,False
1771809449.704441,192.168.100.10,192.168.100.20,18,68104eeeb23e0b01010001006e00000a4000,1771809449.704441,0,b'h\x10N\xee\xb2>\x0b\x01\x01\x00\x01\x00n\x00\x00\n@\x00',True,30503,8025,b'\x0b\x01\x01\x00\x01\x00n\x00\x00\n@\x00',False,False,31210a4cc0f4aa90d912b1a375ca645c9a116ecc,1,True,False,0.0,354361889,0,False
