window_start_epoch,window_end_epoch,suspicious_count,unique_suspicious_patterns
1771809807.869845,1771809817.869845,23,13
1771809808.869845,1771809818.869845,23,13
1771809809.869845,1771809819.869845,23,13
1771809810.869845,1771809820.869845,23,13
1771809811.869845,1771809821.869845,23,13
1771809812.869845,1771809822.869845,23,13
1771809813.869845,1771809823.869845,23,12
1771809814.869845,1771809824.869845,22,13
1771809815.869845,1771809825.869845,21,12
1771809816.869845,1771809826.869845,21,13
1771809817.869845,1771809827.869845,21,13
1771809818.869845,1771809828.869845,21,13
1771809819.869845,1771809829.869845,21,13
1771809820.869845,1771809830.869845,21,13
1771809821.869845,1771809831.869845,21,13
1771809822.869845,1771809832.869845,20,13
1771809823.869845,1771809833.869845,18,11
1771809824.869845,1771809834.869845,13,8
1771809825.869845,1771809835.869845,11,6
1771809826.869845,1771809836.869845,9,5
1771809827.869845,1771809837.869845,7,4
1771809828.869845,1771809838.869845,5,3
1771809829.869845,1771809839.869845,3,2
1771809830.869845,1771809840.869845,1,1
