frame.time_epoch,tcp.stream,ip.src,ip.dst,tcp.len,tcp.payload,time_epoch,payload_bytes,is_i_frame,ns,nr,asdu_bytes,backward_ns,jump_ns,asdu_fp,fp_total_count,is_rare_fp,stale_fp,fp_age_s,window_id,repeat_fp_count,high_rep_density
1771817999.746982,0,192.168.100.10,192.168.100.20,18,6810e45856450b01010001006e0000696100,1771817999.746982,b'h\x10\xe4XVE\x0b\x01\x01\x00\x01\x00n\x00\x00ia\x00',True,11378,8875,b'\x0b\x01\x01\x00\x01\x00n\x00\x00ia\x00',False,False,0e2e49d2f81cc5aa9abc9e9930bd2366d6103cc7,1,True,False,0.0,177181799,0,False
1771818000.755229,0,192.168.100.10,192.168.100.20,18,6810e65856450b01010001006e00006a6100,1771818000.755229,b'h\x10\xe6XVE\x0b\x01\x01\x00\x01\x00n\x00\x00ja\x00',True,11379,8875,b'\x0b\x01\x01\x00\x01\x00n\x00\x00ja\x00',False,False,3ede3199d2d50594dbb5792ba0c4a82281e1e156,1,True,False,0.0,177181800,0,False
1771818001.432725,0,192.168.100.20,192.168.100.10,16,680e5645e85864010603010000000014,1771818001.432725,b'h\x0eVE\xe8Xd\x01\x06\x03\x01\x00\x00\x00\x00\x14',True,8875,11380,b'd\x01\x06\x03\x01\x00\x00\x00\x00\x14',False,True,3eb07ebc1df23e6ba82f5916145a488233f11a40,20,False,False,0.0,177181800,0,False
1771818001.436176,0,192.168.100.10,192.168.100.20,16,680ee858584564010703010000000014,1771818001.436176,b'h\x0e\xe8XXEd\x01\x07\x03\x01\x00\x00\x00\x00\x14',True,11380,8876,b'd\x01\x07\x03\x01\x00\x00\x00\x00\x14',False,True,fe894bba52d504171840b3e044e3c5bf04624b44,20,False,False,0.0,177181800,0,False
1771818001.436177,0,192.168.100.10,192.168.100.20,30,681cea5858450b0314000100640000ffff00650000170000660000fc0800,1771818001.436177,b'h\x1c\xeaXXE\x0b\x03\x14\x00\x01\x00d\x00\x00\xff\xff\x00e\x00\x00\x17\x00\x00f\x00\x00\xfc\x08\x00',True,11381,8876,b'\x0b\x03\x14\x00\x01\x00d\x00\x00\xff\xff\x00e\x00\x00\x17\x00\x00f\x00\x00\xfc\x08\x00',False,False,4d6a7c4a5a118047e9930151a7ef59d4a75992fc,20,False,False,0.0,177181800,0,False
1771818001.437354,0,192.168.100.10,192.168.100.20,79,6812ec58584501021400010068000001690000006815ee5858450188140001002c010001000100010001006812f0585845070114000100f40100aaaa000000680ef258584564010a03010000000014,1771818001.437354,"b'h\x12\xecXXE\x01\x02\x14\x00\x01\x00h\x00\x00\x01i\x00\x00\x00h\x15\xeeXXE\x01\x88\x14\x00\x01\x00,\x01\x00\x01\x00\x01\x00\x01\x00\x01\x00h\x12\xf0XXE\x07\x01\x14\x00\x01\x00\xf4\x01\x00\xaa\xaa\x00\x00\x00h\x0e\xf2XXEd\x01\n\x03\x01\x00\x00\x00\x00\x14'",True,11382,8876,"b'\x01\x02\x14\x00\x01\x00h\x00\x00\x01i\x00\x00\x00h\x15\xeeXXE\x01\x88\x14\x00\x01\x00,\x01\x00\x01\x00\x01\x00\x01\x00\x01\x00h\x12\xf0XXE\x07\x01\x14\x00\x01\x00\xf4\x01\x00\xaa\xaa\x00\x00\x00h\x0e\xf2XXEd\x01\n\x03\x01\x00\x00\x00\x00\x14'",False,False,cfacd696ec8b45b329d7a23915788d17aa80d66d,1,True,False,0.0,177181800,0,False
1771818001.738132,0,192.168.100.10,192.168.100.20,18,6810f45858450b01010001006e00006b6100,1771818001.738132,b'h\x10\xf4XXE\x0b\x01\x01\x00\x01\x00n\x00\x00ka\x00',True,11386,8876,b'\x0b\x01\x01\x00\x01\x00n\x00\x00ka\x00',False,False,b29a4748536388db598d06cd9e5cbb4e1d8473d9,1,True,False,0.0,177181800,0,False
1771818002.753228,0,192.168.100.10,192.168.100.20,18,6810f65858450b01010001006e00006c6100,1771818002.753228,b'h\x10\xf6XXE\x0b\x01\x01\x00\x01\x00n\x00\x00la\x00',True,11387,8876,b'\x0b\x01\x01\x00\x01\x00n\x00\x00la\x00',False,False,37d291a894705e258b7d38b04d57f04879e7606a,1,True,False,0.0,177181800,0,False
1771818003.767794,0,192.168.100.10,192.168.100.20,18,6810f85858450b01010001006e00006d6100,1771818003.767794,b'h\x10\xf8XXE\x0b\x01\x01\x00\x01\x00n\x00\x00ma\x00',True,11388,8876,b'\x0b\x01\x01\x00\x01\x00n\x00\x00ma\x00',False,False,4d8c1fe5bd3105e3e456059377fa2d35f7551844,1,True,False,0.0,177181800,0,False
1771818004.673545,0,192.168.100.10,192.168.100.20,18,6810fa5858450b01010001006e00006e6100,1771818004.673545,b'h\x10\xfaXXE\x0b\x01\x01\x00\x01\x00n\x00\x00na\x00',True,11389,8876,b'\x0b\x01\x01\x00\x01\x00n\x00\x00na\x00',False,False,6c42b0b06feb678ed925836d2ab5a85ac706a77c,1,True,False,0.0,177181800,0,False
