frame.time_epoch,ip.src,ip.dst,tcp.seq,tcp.len
1771809451.775777000,192.168.100.20,192.168.100.10,135,0
1771809451.777299000,192.168.100.10,192.168.100.20,1321,79
1771809451.777319000,192.168.100.20,192.168.100.10,135,0
1771809452.683084000,192.168.100.10,192.168.100.20,1400,18
1771809452.683114000,192.168.100.20,192.168.100.10,135,0
1771809453.693754000,192.168.100.10,192.168.100.20,1418,18
1771809453.693788000,192.168.100.20,192.168.100.10,135,0
1771809453.694903000,192.168.100.20,192.168.100.10,135,6
1771809453.738151000,192.168.100.10,192.168.100.20,1436,0
1771809454.707715000,192.168.100.10,192.168.100.20,1436,18
1771809454.751819000,192.168.100.20,192.168.100.10,141,0
1771809455.712377000,192.168.100.10,192.168.100.20,1454,18
1771809455.712405000,192.168.100.20,192.168.100.10,141,0
1771809456.719541000,192.168.100.10,192.168.100.20,1472,18
1771809456.719567000,192.168.100.20,192.168.100.10,141,0
1771809457.727799000,192.168.100.10,192.168.100.20,1490,18
1771809457.727862000,192.168.100.20,192.168.100.10,141,0
1771809458.737666000,192.168.100.10,192.168.100.20,1508,18
1771809458.737691000,192.168.100.20,192.168.100.10,141,0
1771809459.743937000,192.168.100.10,192.168.100.20,1526,18
1771809459.743960000,192.168.100.20,192.168.100.10,141,0
1771809460.751735000,192.168.100.10,192.168.100.20,1544,18
1771809460.751854000,192.168.100.20,192.168.100.10,141,0
1771809461.760011000,192.168.100.10,192.168.100.20,1562,18
1771809461.760051000,192.168.100.20,192.168.100.10,141,0
1771809461.761072000,192.168.100.20,192.168.100.10,141,6
1771809461.763206000,192.168.100.10,192.168.100.20,1580,0
1771809461.862350000,192.168.100.20,192.168.100.10,147,16
1771809461.865362000,192.168.100.10,192.168.100.20,1580,0
1771809461.867342000,192.168.100.10,192.168.100.20,1580,16
1771809461.868238000,192.168.100.10,192.168.100.20,1596,30
1771809461.869400000,192.168.100.20,192.168.100.10,163,0
1771809461.869669000,192.168.100.10,192.168.100.20,1626,20
1771809461.873065000,192.168.100.10,192.168.100.20,1646,23
1771809461.873300000,192.168.100.20,192.168.100.10,163,0
1771809461.876345000,192.168.100.10,192.168.100.20,1669,20
1771809461.878315000,192.168.100.10,192.168.100.20,1689,16
1771809461.879115000,192.168.100.20,192.168.100.10,163,0
1771809462.787570000,192.168.100.10,192.168.100.20,1705,18
1771809462.830697000,192.168.100.20,192.168.100.10,163,0
1771809463.695910000,192.168.100.10,192.168.100.20,1723,18
1771809463.695942000,192.168.100.20,192.168.100.10,163,0
1771809463.697143000,192.168.100.20,192.168.100.10,163,6
1771809463.741119000,192.168.100.10,192.168.100.20,1741,0
1771809464.705364000,192.168.100.10,192.168.100.20,1741,18
1771809464.747229000,192.168.100.20,192.168.100.10,169,0
1771809465.716386000,192.168.100.10,192.168.100.20,1759,18
1771809465.716419000,192.168.100.20,192.168.100.10,169,0
1771809466.723215000,192.168.100.10,192.168.100.20,1777,18
1771809466.723236000,192.168.100.20,192.168.100.10,169,0
1771809467.729604000,192.168.100.10,192.168.100.20,1795,18
1771809467.729759000,192.168.100.20,192.168.100.10,169,0
1771809468.737492000,192.168.100.10,192.168.100.20,1813,18
1771809468.737540000,192.168.100.20,192.168.100.10,169,0
1771809469.744593000,192.168.100.10,192.168.100.20,1831,18
1771809469.744721000,192.168.100.20,192.168.100.10,169,0
1771809470.756132000,192.168.100.10,192.168.100.20,1849,18
1771809470.756170000,192.168.100.20,192.168.100.10,169,0
1771809471.763305000,192.168.100.10,192.168.100.20,1867,18
1771809471.763337000,192.168.100.20,192.168.100.10,169,0
1771809471.765232000,192.168.100.20,192.168.100.10,169,6
1771809471.771622000,192.168.100.10,192.168.100.20,1885,0
1771809471.938439000,192.168.100.20,192.168.100.10,175,16
1771809471.940368000,192.168.100.10,192.168.100.20,1885,0
1771809471.940369000,192.168.100.10,192.168.100.20,1885,16
1771809471.940369000,192.168.100.10,192.168.100.20,1901,30
1771809471.941354000,192.168.100.20,192.168.100.10,191,0
1771809471.941486000,192.168.100.10,192.168.100.20,1931,79
1771809471.982792000,192.168.100.20,192.168.100.10,191,0
1771809472.746215000,192.168.100.10,192.168.100.20,2010,18
1771809472.746285000,192.168.100.20,192.168.100.10,191,0
1771809473.753648000,192.168.100.10,192.168.100.20,2028,18
1771809473.753777000,192.168.100.20,192.168.100.10,191,0
1771809473.754146000,192.168.100.20,192.168.100.10,191,6
1771809473.796141000,192.168.100.10,192.168.100.20,2046,0
1771809474.761539000,192.168.100.10,192.168.100.20,2046,18
1771809474.805233000,192.168.100.20,192.168.100.10,197,0
1771809475.771912000,192.168.100.10,192.168.100.20,2064,18
1771809475.771939000,192.168.100.20,192.168.100.10,197,0
1771809476.779471000,192.168.100.10,192.168.100.20,2082,18
1771809476.779514000,192.168.100.20,192.168.100.10,197,0
1771809477.790272000,192.168.100.10,192.168.100.20,2100,18
1771809477.790302000,192.168.100.20,192.168.100.10,197,0
1771809478.799299000,192.168.100.10,192.168.100.20,2118,18
1771809478.799337000,192.168.100.20,192.168.100.10,197,0
1771809479.709636000,192.168.100.10,192.168.100.20,2136,18
1771809479.709767000,192.168.100.20,192.168.100.10,197,0
1771809480.715040000,192.168.100.10,192.168.100.20,2154,18
1771809480.715069000,192.168.100.20,192.168.100.10,197,0
1771809481.720598000,192.168.100.10,192.168.100.20,2172,18
1771809481.720659000,192.168.100.20,192.168.100.10,197,0
