window_start_epoch,window_end_epoch,suspicious_count,unique_suspicious_patterns
1771809484.69118,1771809494.69118,25,14
1771809485.69118,1771809495.69118,25,15
1771809486.69118,1771809496.69118,25,15
1771809487.69118,1771809497.69118,25,15
1771809488.69118,1771809498.69118,25,15
1771809489.69118,1771809499.69118,25,15
1771809490.69118,1771809500.69118,25,15
1771809491.69118,1771809501.69118,25,15
1771809492.69118,1771809502.69118,24,15
1771809493.69118,1771809503.69118,24,15
1771809494.69118,1771809504.69118,24,14
1771809495.69118,1771809505.69118,24,15
1771809496.69118,1771809506.69118,24,15
1771809497.69118,1771809507.69118,24,15
1771809498.69118,1771809508.69118,24,15
1771809499.69118,1771809509.69118,24,15
1771809500.69118,1771809510.69118,24,15
1771809501.69118,1771809511.69118,24,15
1771809502.69118,1771809512.69118,24,15
1771809503.69118,1771809513.69118,24,15
1771809504.69118,1771809514.69118,23,13
1771809505.69118,1771809515.69118,23,14
1771809506.69118,1771809516.69118,23,14
1771809507.69118,1771809517.69118,23,14
1771809508.69118,1771809518.69118,23,14
1771809509.69118,1771809519.69118,23,14
1771809510.69118,1771809520.69118,23,14
1771809511.69118,1771809521.69118,23,14
1771809512.69118,1771809522.69118,24,14
1771809513.69118,1771809523.69118,24,14
1771809514.69118,1771809524.69118,24,13
1771809515.69118,1771809525.69118,24,14
1771809516.69118,1771809526.69118,24,14
1771809517.69118,1771809527.69118,24,14
1771809518.69118,1771809528.69118,24,14
1771809519.69118,1771809529.69118,24,14
1771809520.69118,1771809530.69118,24,14
1771809521.69118,1771809531.69118,24,14
1771809522.69118,1771809532.69118,23,14
1771809523.69118,1771809533.69118,23,14
1771809524.69118,1771809534.69118,23,13
1771809525.69118,1771809535.69118,23,14
1771809526.69118,1771809536.69118,23,14
1771809527.69118,1771809537.69118,23,14
1771809528.69118,1771809538.69118,23,14
1771809529.69118,1771809539.69118,23,14
1771809530.69118,1771809540.69118,23,14
1771809531.69118,1771809541.69118,23,14
1771809532.69118,1771809542.69118,23,14
1771809533.69118,1771809543.69118,23,14
1771809534.69118,1771809544.69118,23,13
1771809535.69118,1771809545.69118,23,14
1771809536.69118,1771809546.69118,23,14
1771809537.69118,1771809547.69118,23,14
1771809538.69118,1771809548.69118,23,14
1771809539.69118,1771809549.69118,23,14
1771809540.69118,1771809550.69118,23,14
1771809541.69118,1771809551.69118,23,14
1771809542.69118,1771809552.69118,24,14
1771809543.69118,1771809553.69118,24,14
1771809544.69118,1771809554.69118,24,13
1771809545.69118,1771809555.69118,24,14
1771809546.69118,1771809556.69118,24,14
1771809547.69118,1771809557.69118,24,14
1771809548.69118,1771809558.69118,24,14
1771809549.69118,1771809559.69118,24,14
1771809550.69118,1771809560.69118,24,14
1771809551.69118,1771809561.69118,24,14
1771809552.69118,1771809562.69118,22,14
1771809553.69118,1771809563.69118,22,14
1771809554.69118,1771809564.69118,22,13
1771809555.69118,1771809565.69118,22,14
1771809556.69118,1771809566.69118,22,14
1771809557.69118,1771809567.69118,22,14
1771809558.69118,1771809568.69118,22,14
1771809559.69118,1771809569.69118,22,14
1771809560.69118,1771809570.69118,22,14
1771809561.69118,1771809571.69118,22,14
1771809562.69118,1771809572.69118,23,14
1771809563.69118,1771809573.69118,23,14
1771809564.69118,1771809574.69118,23,13
1771809565.69118,1771809575.69118,23,14
1771809566.69118,1771809576.69118,23,14
1771809567.69118,1771809577.69118,23,14
1771809568.69118,1771809578.69118,23,14
1771809569.69118,1771809579.69118,23,14
1771809570.69118,1771809580.69118,23,14
1771809571.69118,1771809581.69118,21,13
1771809572.69118,1771809582.69118,15,9
1771809573.69118,1771809583.69118,14,9
1771809574.69118,1771809584.69118,12,7
1771809575.69118,1771809585.69118,10,6
1771809576.69118,1771809586.69118,8,5
1771809577.69118,1771809587.69118,6,4
1771809578.69118,1771809588.69118,4,3
1771809579.69118,1771809589.69118,2,2
