frame.time_epoch,packet_id,delta_from_baseline_first
1771350744.402894,192.168.100.20_192.168.100.10_113_0,107481.18392252922
1771350745.411212,192.168.100.20_192.168.100.10_113_0,107482.19224047661
1771350746.417688,192.168.100.20_192.168.100.10_113_0,107483.19871640205
1771350747.422515,192.168.100.20_192.168.100.10_113_0,107484.2035434246
1771350748.428034,192.168.100.20_192.168.100.10_113_0,107485.2090625763
1771350748.428927,192.168.100.20_192.168.100.10_113_6,107478.27629566193
1771350749.434136,192.168.100.20_192.168.100.10_119_16,107478.61198282242
1771350749.437987,192.168.100.20_192.168.100.10_135_0,107478.61221909523
1771350750.4451,192.168.100.10_192.168.100.20_1508_18,107474.26360082626
1771350750.497316,192.168.100.20_192.168.100.10_135_0,107479.67154788971
1771350751.455741,192.168.100.10_192.168.100.20_1526_18,107474.26035261154
1771350751.455757,192.168.100.20_192.168.100.10_135_0,107480.62998890877
1771350751.456329,192.168.100.20_192.168.100.10_135_6,107479.3152282238
1771350752.466025,192.168.100.10_192.168.100.20_1544_18,107474.36265063286
1771350752.472525,192.168.100.20_192.168.100.10_141_0,107479.27763199806
1771350753.474497,192.168.100.10_192.168.100.20_1562_18,107474.36214160919
1771350753.474516,192.168.100.20_192.168.100.10_141_0,107480.27962303162
1771350754.481224,192.168.100.10_192.168.100.20_1580_18,107474.3543972969
1771350754.481291,192.168.100.20_192.168.100.10_141_0,107481.28639817238
1771350755.486438,192.168.100.20_192.168.100.10_141_0,107482.29154515266
1771350756.490437,192.168.100.20_192.168.100.10_141_0,107483.29554414749
1771350757.49425,192.168.100.20_192.168.100.10_141_0,107484.29935717583
1771350758.49825,192.168.100.20_192.168.100.10_141_0,107485.30335712433
1771350759.402273,192.168.100.20_192.168.100.10_141_0,107486.20738005638
1771350759.402566,192.168.100.20_192.168.100.10_141_6,107479.2750594616
1771350759.508072,192.168.100.20_192.168.100.10_147_16,107478.59697151184
1771350759.510007,192.168.100.20_192.168.100.10_163_0,107478.59641551971
1771350759.511678,192.168.100.20_192.168.100.10_163_0,107478.59808659554
1771350759.556976,192.168.100.20_192.168.100.10_163_0,107478.64338469505
1771350760.41487,192.168.100.10_192.168.100.20_1813_18,107474.25110173225
1771350760.414896,192.168.100.20_192.168.100.10_163_0,107479.50130462646
1771350761.419383,192.168.100.10_192.168.100.20_1831_18,107474.24649596214
1771350761.419436,192.168.100.20_192.168.100.10_163_0,107480.50584459305
1771350761.41993,192.168.100.20_192.168.100.10_163_6,107479.29403781891
1771350761.462088,192.168.100.20_192.168.100.10_163_6,107479.33619594574
1771350762.426229,192.168.100.10_192.168.100.20_1849_18,107474.24280929565
1771350762.468275,192.168.100.20_192.168.100.10_169_0,107479.28935909271
1771350763.430424,192.168.100.10_192.168.100.20_1867_18,107474.23279237747
1771350763.430448,192.168.100.20_192.168.100.10_169_0,107480.25153207779
1771350764.435963,192.168.100.10_192.168.100.20_1885_18,107474.3204009533
1771350764.435979,192.168.100.20_192.168.100.10_169_0,107481.25706291199
1771350765.440829,192.168.100.20_192.168.100.10_169_0,107482.26191306114
1771350766.444915,192.168.100.20_192.168.100.10_169_0,107483.26599907875
1771350767.448976,192.168.100.20_192.168.100.10_169_0,107484.27006006241
1771350768.453404,192.168.100.20_192.168.100.10_169_0,107485.27448797226
1771350769.457113,192.168.100.20_192.168.100.10_169_0,107486.2781970501
1771350769.457976,192.168.100.20_192.168.100.10_169_6,107479.34126496315
1771350769.560434,192.168.100.20_192.168.100.10_175_16,107478.5558309555
1771350769.56412,192.168.100.20_192.168.100.10_191_0,107478.55454397202
1771350770.468952,192.168.100.10_192.168.100.20_2118_18,107474.29342556
1771350770.512684,192.168.100.20_192.168.100.10_191_0,107479.5031080246
1771350771.479723,192.168.100.10_192.168.100.20_2136_18,107474.29880046844
1771350771.479744,192.168.100.20_192.168.100.10_191_0,107480.47016787529
1771350771.480512,192.168.100.20_192.168.100.10_191_6,107479.34865164757
1771350772.490188,192.168.100.10_192.168.100.20_2154_18,107474.29947590828
1771350772.532382,192.168.100.20_192.168.100.10_197_0,107479.34204602242
1771350773.502652,192.168.100.10_192.168.100.20_2172_18,107474.30452847481
1771350773.50268,192.168.100.20_192.168.100.10_197_0,107480.31234407425
1771350774.411964,192.168.100.10_192.168.100.20_2190_18,107474.20123934746
1771350774.411992,192.168.100.20_192.168.100.10_197_0,107481.22165608406
1771350775.417395,192.168.100.20_192.168.100.10_197_0,107482.2270591259
1771350776.42392,192.168.100.20_192.168.100.10_197_0,107483.23358392715
1771350777.430499,192.168.100.20_192.168.100.10_197_0,107484.24016308784
